paid_spins_per_denom=100000
selected_reveal_policy=ev
selected_reveal_ev_samples=8
selected_reveal_rtp_reserve=8:13.0pp|16:13.1pp|40:20.7pp|88:17.6pp|176:19.4pp
bet_level,active_reels,ways,denom,target_rtp,sim_rtp,diff_pp,bonus_triggers,free_spins,expanded_spins,scratch,mini,minor,major,grand,avg_retrigger_count,avg_max_multiplier,p99_freegame_total_win,selected_reveal_offers,selected_reveal_takes,selected_reveal_selects,avg_selected_reveal_delta
8,3,27,1¢,88.00,87.280,-0.720,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54142,21830,32312,1.870
8,3,27,2¢,89.00,88.438,-0.562,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53875,22321,31554,1.908
8,3,27,5¢,90.00,89.826,-0.174,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54115,21438,32677,1.945
8,3,27,10¢,91.00,91.161,0.161,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54060,21937,32123,2.022
8,3,27,20¢,92.00,91.490,-0.510,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53766,21594,32172,1.968
8,3,27,50¢,93.00,93.333,0.333,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54011,22321,31690,1.962
8,3,27,$1,95.00,96.008,1.008,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53979,22995,30984,2.173
16,3,27,1¢,88.00,87.614,-0.386,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54274,21794,32480,3.645
16,3,27,2¢,89.00,89.099,0.099,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54215,22394,31821,3.893
16,3,27,5¢,90.00,89.174,-0.826,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53964,20360,33604,3.808
16,3,27,10¢,91.00,91.661,0.661,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54212,21762,32450,3.874
16,3,27,20¢,92.00,91.435,-0.565,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54024,21551,32473,3.880
16,3,27,50¢,93.00,93.365,0.365,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54090,21326,32764,3.884
16,3,27,$1,95.00,95.857,0.857,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54134,23371,30763,4.071
40,4,81,1¢,88.00,88.057,0.057,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54178,17214,36964,14.572
40,4,81,2¢,89.00,88.265,-0.735,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54069,17120,36949,15.119
40,4,81,5¢,90.00,89.509,-0.491,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54463,16811,37652,14.667
40,4,81,10¢,91.00,90.409,-0.591,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53779,17175,36604,15.786
40,4,81,20¢,92.00,92.729,0.729,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53917,17101,36816,15.270
40,4,81,50¢,93.00,93.890,0.890,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54304,17726,36578,15.719
40,4,81,$1,95.00,94.894,-0.106,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53939,17764,36175,16.189
88,5,243,1¢,88.00,86.839,-1.161,1059,4145,1735,354,290,43,17,4,0.1603,2.080,1214.00,48926,15774,33152,29.370
88,5,243,2¢,89.00,87.650,-1.350,1080,3900,1930,352,283,46,18,5,0.1319,2.146,1460.00,49283,14886,34397,28.676
88,5,243,5¢,90.00,89.036,-0.964,1071,4440,1740,341,278,42,18,3,0.1699,2.161,1429.00,49243,15433,33810,29.795
88,5,243,10¢,91.00,91.390,0.390,1080,4075,1700,384,316,42,20,6,0.1480,2.097,1380.00,49285,15547,33738,30.933
88,5,243,20¢,92.00,93.513,1.513,1098,4550,1805,349,276,42,26,5,0.1789,2.067,1274.00,49257,15450,33807,31.652
88,5,243,50¢,93.00,93.832,0.832,1093,4615,1780,333,268,43,19,3,0.1513,2.130,1205.00,49365,15921,33444,32.634
88,5,243,$1,95.00,96.501,1.501,1090,4265,1765,371,303,41,23,4,0.1683,2.165,1393.00,49847,15593,34254,31.071
176,5,243,1¢,88.00,86.678,-1.322,1104,4220,1885,372,264,61,37,10,0.1831,2.104,2646.00,52224,15174,37050,61.362
176,5,243,2¢,89.00,87.934,-1.066,1084,4220,1790,358,254,64,33,7,0.1488,2.148,2684.00,52507,14951,37556,61.269
176,5,243,5¢,90.00,89.441,-0.559,1097,4170,1885,371,265,66,31,9,0.1873,2.228,3161.00,52619,14886,37733,62.444
176,5,243,10¢,91.00,90.476,-0.524,1065,4250,1705,362,250,64,39,9,0.1792,2.151,3134.00,52695,15005,37690,62.940
176,5,243,20¢,92.00,91.475,-0.525,1123,4425,1900,359,248,62,36,13,0.1531,2.197,3492.00,52382,15403,36979,65.136
176,5,243,50¢,93.00,92.918,-0.082,1061,4185,1720,350,245,61,37,7,0.1449,2.155,2367.00,52871,15590,37281,66.667
176,5,243,$1,95.00,96.896,1.896,1042,3985,1800,338,232,63,34,9,0.1548,2.119,2423.00,52888,15213,37675,70.532
