paid_spins_per_denom=100000
selected_reveal_policy=take
selected_reveal_rtp_reserve=8:13.0pp|16:13.1pp|40:20.7pp|88:17.6pp|176:19.4pp
bet_level,active_reels,ways,denom,target_rtp,sim_rtp,diff_pp,bonus_triggers,free_spins,expanded_spins,scratch,mini,minor,major,grand,avg_retrigger_count,avg_max_multiplier,p99_freegame_total_win,selected_reveal_offers,selected_reveal_takes,selected_reveal_selects,avg_selected_reveal_delta
8,3,27,1¢,88.00,75.291,-12.709,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54247,54247,0,0.000
8,3,27,2¢,89.00,75.836,-13.164,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54041,54041,0,0.000
8,3,27,5¢,90.00,76.439,-13.562,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53856,53856,0,0.000
8,3,27,10¢,91.00,78.475,-12.525,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54217,54217,0,0.000
8,3,27,20¢,92.00,78.740,-13.260,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54189,54189,0,0.000
8,3,27,50¢,93.00,79.594,-13.406,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53750,53750,0,0.000
8,3,27,$1,95.00,82.366,-12.634,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54325,54325,0,0.000
16,3,27,1¢,88.00,74.403,-13.597,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53945,53945,0,0.000
16,3,27,2¢,89.00,75.063,-13.937,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53748,53748,0,0.000
16,3,27,5¢,90.00,77.216,-12.784,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54036,54036,0,0.000
16,3,27,10¢,91.00,78.322,-12.678,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53941,53941,0,0.000
16,3,27,20¢,92.00,79.151,-12.849,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54128,54128,0,0.000
16,3,27,50¢,93.00,79.911,-13.089,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54204,54204,0,0.000
16,3,27,$1,95.00,81.894,-13.106,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53973,53973,0,0.000
40,4,81,1¢,88.00,67.517,-20.483,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54079,54079,0,0.000
40,4,81,2¢,89.00,68.100,-20.900,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53998,53998,0,0.000
40,4,81,5¢,90.00,68.455,-21.545,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54064,54064,0,0.000
40,4,81,10¢,91.00,69.874,-21.126,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54044,54044,0,0.000
40,4,81,20¢,92.00,70.523,-21.477,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53968,53968,0,0.000
40,4,81,50¢,93.00,71.909,-21.091,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54159,54159,0,0.000
40,4,81,$1,95.00,74.505,-20.495,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54084,54084,0,0.000
88,5,243,1¢,88.00,70.041,-17.959,1120,4665,1830,346,280,43,19,4,0.1512,2.154,1355.00,48863,48863,0,0.000
88,5,243,2¢,89.00,71.446,-17.554,1094,4165,1770,379,307,50,18,4,0.1552,2.144,1271.00,49160,49160,0,0.000
88,5,243,5¢,90.00,72.234,-17.766,1098,4640,1670,364,299,46,15,4,0.1744,2.102,1293.00,49629,49629,0,0.000
88,5,243,10¢,91.00,72.952,-18.048,1055,4270,1785,332,268,41,20,3,0.1687,2.131,1758.00,48823,48823,0,0.000
88,5,243,20¢,92.00,73.117,-18.883,1122,4395,1725,390,318,53,15,4,0.1434,2.133,1230.00,49249,49249,0,0.000
88,5,243,50¢,93.00,74.963,-18.037,1102,4305,1800,375,298,49,22,6,0.1747,2.181,1602.00,49449,49449,0,0.000
88,5,243,$1,95.00,77.407,-17.593,1033,4045,1600,360,293,42,20,5,0.1530,2.107,1697.00,49753,49753,0,0.000
176,5,243,1¢,88.00,67.379,-20.621,1072,4125,1880,341,234,63,36,8,0.1573,2.200,2907.00,52105,52105,0,0.000
176,5,243,2¢,89.00,69.549,-19.451,1068,4235,1820,341,236,59,38,8,0.1664,2.099,2694.00,52493,52493,0,0.000
176,5,243,5¢,90.00,70.062,-19.938,1103,4205,1840,374,259,65,41,9,0.1632,2.109,3613.00,52471,52471,0,0.000
176,5,243,10¢,91.00,72.855,-18.145,1151,4430,1870,395,284,63,38,10,0.1614,2.115,2457.00,52804,52804,0,0.000
176,5,243,20¢,92.00,72.726,-19.274,1093,4080,1720,396,286,63,35,12,0.1578,2.073,2272.00,52624,52624,0,0.000
176,5,243,50¢,93.00,74.117,-18.883,1081,4180,1780,359,249,66,34,10,0.1440,2.125,2582.00,52650,52650,0,0.000
176,5,243,$1,95.00,76.012,-18.988,1099,4240,1910,369,265,63,32,9,0.2082,2.151,2862.00,52502,52502,0,0.000
