paid_spins_per_denom=100000
selected_reveal_policy=ev
selected_reveal_ev_samples=8
bet_level,active_reels,ways,denom,target_rtp,sim_rtp,diff_pp,bonus_triggers,free_spins,expanded_spins,scratch,mini,minor,major,grand,avg_retrigger_count,avg_max_multiplier,p99_freegame_total_win,selected_reveal_offers,selected_reveal_takes,selected_reveal_selects,avg_selected_reveal_delta
8,3,27,1¢,88.00,102.483,14.483,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54009,22329,31680,2.157
8,3,27,2¢,89.00,102.429,13.429,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53759,21527,32232,2.072
8,3,27,5¢,90.00,105.414,15.414,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54027,21940,32087,2.215
8,3,27,10¢,91.00,107.789,16.789,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54199,22159,32040,2.387
8,3,27,20¢,92.00,107.113,15.113,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54025,22553,31472,2.254
8,3,27,50¢,93.00,107.631,14.631,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53867,23124,30743,2.273
8,3,27,$1,95.00,110.506,15.506,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54070,20338,33732,2.349
16,3,27,1¢,88.00,102.690,14.690,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54096,23070,31026,4.322
16,3,27,2¢,89.00,104.408,15.408,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54154,20957,33197,4.381
16,3,27,5¢,90.00,104.924,14.924,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53985,21773,32212,4.436
16,3,27,10¢,91.00,105.905,14.905,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54093,22095,31998,4.432
16,3,27,20¢,92.00,106.489,14.489,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53881,21416,32465,4.640
16,3,27,50¢,93.00,108.313,15.313,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54111,22369,31742,4.454
16,3,27,$1,95.00,110.809,15.809,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54220,20628,33592,4.547
40,4,81,1¢,88.00,114.543,26.543,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54001,18234,35767,19.282
40,4,81,2¢,89.00,115.822,26.822,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54095,17970,36125,19.272
40,4,81,5¢,90.00,116.218,26.218,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53994,16295,37699,19.381
40,4,81,10¢,91.00,117.394,26.394,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53910,16915,36995,20.369
40,4,81,20¢,92.00,119.153,27.153,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54223,16523,37700,19.848
40,4,81,50¢,93.00,120.829,27.829,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54072,17391,36681,20.710
40,4,81,$1,95.00,121.305,26.305,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53829,17512,36317,20.906
88,5,243,1¢,88.00,109.928,21.928,1094,4360,1745,364,303,39,17,5,0.1507,2.091,1250.00,50839,15998,34841,36.702
88,5,243,2¢,89.00,111.341,22.341,1075,4110,1840,353,280,49,21,3,0.1579,2.114,1400.00,50879,15482,35397,39.512
88,5,243,5¢,90.00,113.403,23.403,1070,4145,1810,346,274,48,21,3,0.1450,2.181,1294.00,50983,15111,35872,41.675
88,5,243,10¢,91.00,114.260,23.260,1093,4425,1630,385,318,48,16,3,0.1709,2.099,1370.00,50646,15131,35515,41.438
88,5,243,20¢,92.00,115.379,23.379,1077,4520,1890,320,254,41,22,3,0.1929,2.178,1292.00,51181,15186,35995,40.679
88,5,243,50¢,93.00,117.724,24.724,1093,4380,1725,361,295,45,16,5,0.1393,2.078,1450.00,51319,15678,35641,42.102
88,5,243,$1,95.00,119.716,24.716,1104,4325,1860,356,289,42,20,5,0.1511,2.071,1555.00,51474,15808,35666,41.283
176,5,243,1¢,88.00,114.544,26.544,1111,4225,1945,359,257,59,33,10,0.1582,2.118,2346.00,53386,15080,38306,82.551
176,5,243,2¢,89.00,113.231,24.231,1083,4455,1755,343,240,63,31,9,0.1527,2.071,2613.00,53388,14614,38774,81.608
176,5,243,5¢,90.00,115.437,25.437,1068,4360,1675,354,246,61,38,9,0.1597,2.140,2732.00,53452,14836,38616,81.859
176,5,243,10¢,91.00,117.355,26.355,1102,4250,1740,384,277,63,37,7,0.1532,2.073,2963.00,53551,15901,37650,87.517
176,5,243,20¢,92.00,118.894,26.894,1040,4030,1675,350,237,61,42,10,0.1391,2.146,2370.00,53207,15179,38028,88.039
176,5,243,50¢,93.00,118.535,25.535,1112,4535,1710,370,261,64,36,9,0.1442,2.178,2448.00,53633,15630,38003,84.262
176,5,243,$1,95.00,119.763,24.763,1110,4290,1910,351,244,63,36,8,0.1370,2.096,2984.00,53561,15392,38169,84.974
