paid_spins_per_denom=100000
selected_reveal_policy=ev
selected_reveal_ev_samples=8
selected_reveal_rtp_reserve=8:13.0pp|16:13.1pp|40:20.7pp|88:17.6pp|176:19.4pp
bet_level,active_reels,ways,denom,target_rtp,sim_rtp,diff_pp,bonus_triggers,free_spins,expanded_spins,scratch,mini,minor,major,grand,avg_retrigger_count,avg_max_multiplier,p99_freegame_total_win,selected_reveal_offers,selected_reveal_takes,selected_reveal_selects,avg_selected_reveal_delta
8,3,27,1¢,88.00,87.264,-0.736,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54128,21825,32303,1.871
8,3,27,2¢,89.00,88.401,-0.599,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53865,22314,31551,1.904
8,3,27,5¢,90.00,89.822,-0.178,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54113,21440,32673,1.943
8,3,27,10¢,91.00,91.090,0.090,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54064,21939,32125,2.014
8,3,27,20¢,92.00,91.466,-0.534,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53762,21594,32168,1.964
8,3,27,50¢,93.00,93.367,0.366,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54015,22317,31698,1.963
8,3,27,$1,95.00,96.014,1.014,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53973,22985,30988,2.178
16,3,27,1¢,88.00,87.597,-0.403,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54275,21799,32476,3.641
16,3,27,2¢,89.00,89.115,0.115,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54223,22393,31830,3.894
16,3,27,5¢,90.00,89.201,-0.799,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53971,20367,33604,3.806
16,3,27,10¢,91.00,91.646,0.646,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54211,21764,32447,3.874
16,3,27,20¢,92.00,91.424,-0.576,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54027,21546,32481,3.879
16,3,27,50¢,93.00,93.394,0.394,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54102,21337,32765,3.878
16,3,27,$1,95.00,95.846,0.846,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54131,23373,30758,4.070
40,4,81,1¢,88.00,87.987,-0.013,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54185,17210,36975,14.532
40,4,81,2¢,89.00,88.266,-0.734,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54076,17122,36954,15.114
40,4,81,5¢,90.00,89.514,-0.486,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54478,16807,37671,14.654
40,4,81,10¢,91.00,90.345,-0.655,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53777,17165,36612,15.779
40,4,81,20¢,92.00,92.721,0.721,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53925,17107,36818,15.267
40,4,81,50¢,93.00,93.939,0.939,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54306,17726,36580,15.737
40,4,81,$1,95.00,94.893,-0.107,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53939,17767,36172,16.187
88,5,243,1¢,88.00,88.151,0.151,1050,4265,1800,329,267,43,14,5,0.1817,2.153,1468.00,49060,15877,33183,29.619
88,5,243,2¢,89.00,88.297,-0.703,1114,4205,1960,360,290,41,25,4,0.1552,2.120,1448.00,49212,14932,34280,28.748
88,5,243,5¢,90.00,88.943,-1.057,1066,4075,1830,348,282,45,16,5,0.1546,2.171,1296.00,49334,15511,33823,30.428
88,5,243,10¢,91.00,91.777,0.777,1069,4105,1670,374,304,44,20,6,0.1424,2.172,1304.00,49327,15619,33708,31.547
88,5,243,20¢,92.00,92.639,0.639,1049,4415,1680,327,261,40,21,5,0.1537,2.099,1262.00,49232,15367,33865,31.603
88,5,243,50¢,93.00,93.841,0.841,1114,4505,1810,366,300,48,14,4,0.1725,2.171,1636.00,49334,15935,33399,33.423
88,5,243,$1,95.00,96.876,1.876,1108,4400,1745,375,305,44,21,5,0.1528,2.143,1563.00,49826,15718,34108,30.664
176,5,243,1¢,88.00,87.217,-0.783,1099,4310,1820,364,259,62,30,13,0.1633,2.108,2692.00,52500,15180,37320,61.908
176,5,243,2¢,89.00,88.072,-0.928,1096,4235,1825,365,260,68,28,9,0.1573,2.113,2993.00,52445,15059,37386,61.090
176,5,243,5¢,90.00,89.345,-0.655,1104,4120,1840,381,274,60,40,7,0.1577,2.105,3267.00,52609,15029,37580,61.168
176,5,243,10¢,91.00,90.036,-0.964,1121,4220,1840,399,288,61,41,9,0.1884,2.147,2943.00,52419,14885,37534,62.306
176,5,243,20¢,92.00,92.278,0.278,1080,4090,1850,360,248,62,37,13,0.1639,2.186,2698.00,52539,15363,37176,67.230
176,5,243,50¢,93.00,93.251,0.251,1088,4210,1765,364,259,60,37,8,0.1381,2.240,2500.00,52925,15613,37312,65.808
176,5,243,$1,95.00,95.311,0.311,1075,4075,1890,349,243,63,34,9,0.1639,2.109,3158.00,52675,15001,37674,68.932
