paid_spins_per_denom=100000
selected_reveal_policy=take
bet_level,active_reels,ways,denom,target_rtp,sim_rtp,diff_pp,bonus_triggers,free_spins,expanded_spins,scratch,mini,minor,major,grand,avg_retrigger_count,avg_max_multiplier,p99_freegame_total_win,selected_reveal_offers,selected_reveal_takes,selected_reveal_selects,avg_selected_reveal_delta
8,3,27,1¢,88.00,88.335,0.335,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54247,54247,0,0.000
8,3,27,2¢,89.00,88.827,-0.173,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54041,54041,0,0.000
8,3,27,5¢,90.00,89.355,-0.645,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53856,53856,0,0.000
8,3,27,10¢,91.00,91.558,0.557,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54217,54217,0,0.000
8,3,27,20¢,92.00,91.686,-0.314,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54189,54189,0,0.000
8,3,27,50¢,93.00,92.508,-0.492,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53750,53750,0,0.000
8,3,27,$1,95.00,95.432,0.432,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54325,54325,0,0.000
16,3,27,1¢,88.00,87.413,-0.587,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53945,53945,0,0.000
16,3,27,2¢,89.00,88.011,-0.989,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53748,53748,0,0.000
16,3,27,5¢,90.00,90.358,0.358,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54036,54036,0,0.000
16,3,27,10¢,91.00,91.500,0.500,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53941,53941,0,0.000
16,3,27,20¢,92.00,92.299,0.299,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54128,54128,0,0.000
16,3,27,50¢,93.00,93.014,0.014,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54204,54204,0,0.000
16,3,27,$1,95.00,94.991,-0.009,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53973,53973,0,0.000
40,4,81,1¢,88.00,88.285,0.285,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54079,54079,0,0.000
40,4,81,2¢,89.00,88.738,-0.262,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53998,53998,0,0.000
40,4,81,5¢,90.00,88.901,-1.099,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54064,54064,0,0.000
40,4,81,10¢,91.00,90.456,-0.544,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54044,54044,0,0.000
40,4,81,20¢,92.00,91.000,-1.000,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,53968,53968,0,0.000
40,4,81,50¢,93.00,92.501,-0.499,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54159,54159,0,0.000
40,4,81,$1,95.00,95.265,0.265,0,0,0,0,0,0,0,0,0.0000,1.000,0.00,54084,54084,0,0.000
88,5,243,1¢,88.00,87.552,-0.448,1120,4665,1830,346,280,43,19,4,0.1512,2.154,1355.00,50564,50564,0,0.000
88,5,243,2¢,89.00,89.059,0.059,1094,4165,1770,379,307,50,18,4,0.1552,2.144,1271.00,50887,50887,0,0.000
88,5,243,5¢,90.00,89.819,-0.181,1098,4640,1670,364,299,46,15,4,0.1744,2.102,1293.00,51357,51357,0,0.000
88,5,243,10¢,91.00,90.474,-0.526,1055,4270,1785,332,268,41,20,3,0.1687,2.131,1758.00,50585,50585,0,0.000
88,5,243,20¢,92.00,90.441,-1.559,1122,4395,1725,390,318,53,15,4,0.1434,2.133,1230.00,50976,50976,0,0.000
88,5,243,50¢,93.00,92.349,-0.651,1102,4305,1800,375,298,49,22,6,0.1747,2.181,1602.00,51200,51200,0,0.000
88,5,243,$1,95.00,94.972,-0.028,1033,4045,1600,360,293,42,20,5,0.1530,2.107,1697.00,51416,51416,0,0.000
176,5,243,1¢,88.00,86.334,-1.666,1072,4125,1880,341,234,63,36,8,0.1573,2.200,2907.00,52960,52960,0,0.000
176,5,243,2¢,89.00,88.885,-0.115,1068,4235,1820,341,236,59,38,8,0.1664,2.099,2694.00,53301,53301,0,0.000
176,5,243,5¢,90.00,89.149,-0.851,1103,4205,1840,374,259,65,41,9,0.1632,2.109,3613.00,53280,53280,0,0.000
176,5,243,10¢,91.00,92.484,1.484,1151,4430,1870,395,284,63,38,10,0.1614,2.115,2457.00,53605,53605,0,0.000
176,5,243,20¢,92.00,92.078,0.078,1093,4080,1720,396,286,63,35,12,0.1578,2.073,2272.00,53405,53405,0,0.000
176,5,243,50¢,93.00,93.592,0.592,1081,4180,1780,359,249,66,34,10,0.1440,2.125,2582.00,53401,53401,0,0.000
176,5,243,$1,95.00,95.434,0.434,1099,4240,1910,369,265,63,32,9,0.2082,2.151,2862.00,53295,53295,0,0.000
