paid_spins_per_denom=1000000
bet_level,active_reels,ways,denom,target_rtp,sim_rtp,diff_pp,bonus_triggers,free_spins,expanded_spins,scratch,mini,minor,major,grand,avg_retrigger_count,avg_max_multiplier,p99_freegame_total_win
8,3,27,1¢,88.00,87.981,-0.019,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
8,3,27,2¢,89.00,89.202,0.202,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
8,3,27,5¢,90.00,90.087,0.087,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
8,3,27,10¢,91.00,91.019,0.019,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
8,3,27,20¢,92.00,91.968,-0.032,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
8,3,27,50¢,93.00,92.881,-0.119,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
8,3,27,$1,95.00,94.964,-0.036,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,1¢,88.00,87.859,-0.141,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,2¢,89.00,88.906,-0.094,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,5¢,90.00,89.991,-0.009,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,10¢,91.00,90.860,-0.140,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,20¢,92.00,91.764,-0.236,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,50¢,93.00,93.349,0.349,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
16,3,27,$1,95.00,95.176,0.176,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,1¢,88.00,87.999,-0.001,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,2¢,89.00,89.119,0.119,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,5¢,90.00,89.719,-0.281,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,10¢,91.00,90.866,-0.134,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,20¢,92.00,92.142,0.142,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,50¢,93.00,93.064,0.064,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
40,4,81,$1,95.00,95.362,0.362,0,0,0,0,0,0,0,0,0.0000,1.000,0.00
88,5,243,1¢,88.00,88.825,0.825,10834,43700,17615,3526,2828,448,201,49,0.1601,2.162,1468.00
88,5,243,2¢,89.00,88.958,-0.042,10952,43505,17930,3590,2912,441,195,42,0.1561,2.100,1455.00
88,5,243,5¢,90.00,90.343,0.343,10920,43070,17935,3596,2909,439,198,50,0.1557,2.122,1476.00
88,5,243,10¢,91.00,91.525,0.525,10990,43130,17765,3729,3039,442,201,47,0.1666,2.137,1500.00
88,5,243,20¢,92.00,92.081,0.081,10861,42475,17635,3644,2956,456,188,44,0.1545,2.097,1364.00
88,5,243,50¢,93.00,93.357,0.357,11065,43715,18160,3657,2948,463,205,41,0.1608,2.140,1440.00
88,5,243,$1,95.00,94.807,-0.193,10824,42960,17840,3570,2862,459,197,52,0.1682,2.133,1556.00
176,5,243,1¢,88.00,88.404,0.404,10740,42715,17675,3515,2441,618,370,86,0.1610,2.126,3019.00
176,5,243,2¢,89.00,89.154,0.154,10789,42400,17600,3570,2467,627,379,97,0.1499,2.132,2897.00
176,5,243,5¢,90.00,90.044,0.044,10812,42115,17950,3588,2477,633,375,103,0.1599,2.123,2757.00
176,5,243,10¢,91.00,91.247,0.247,10814,43105,17820,3537,2433,625,379,100,0.1642,2.123,2884.00
176,5,243,20¢,92.00,92.004,0.004,10963,42925,17965,3653,2554,633,374,92,0.1575,2.149,3096.00
176,5,243,50¢,93.00,93.284,0.284,11125,43920,18310,3697,2592,644,361,100,0.1686,2.131,3270.00
176,5,243,$1,95.00,94.953,-0.047,10915,42420,17965,3642,2560,640,348,94,0.1545,2.127,3103.00
